01:06:53.53: [INFO ]: ConversationManager - Creating conversation manager
01:06:53.53: [TRACE]: Contract Manager - Initialized Authentication Manager
01:06:54.54: [ERROR]: Contract GUI - The given key was not present in the dictionary.
01:07:00.0: [TRACE]: Contract GUI - Login information passed basic validation
01:07:00.0: [INFO ]: Contract Manager - Attempting to connect
01:07:00.0: [INFO ]: Contract Manager - The deets: Id=0, Label=Contract Manager, Type=ContractManager, EndPoint=0.0.0.0:5556, Status=Unknown
01:07:00.0: [INFO ]: Contract Manager - Requesting a login
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
01:07:00.0: [WARN ]: Login Conv - Unable to log in
